# sent_id = CicRabPe-D-19-1
# text = etsi Quirites non est meae consuetudinis initio dicendi rationem reddere qua de causa quemque defendam propterea quod cum omnibus ciuibus in eorum periculis semper satis iustam mihi causam necessitudinis esse duxi tamen in hac defensione capitis famae fortunarumque omnium C. Rabiri proponenda ratio uidetur esse offici mei propterea quod quae iustissima mihi causa ad hunc defendendum esse uisa est eadem uobis ad absoluendum debet uideri
1-2	etsi	_	_	_
2	si	lilaLemma:102562	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000001	O
2	si	lilaLemma:102562	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000001	O
3	Quirites	lilaLemma:19826	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000002	O
4	non	lilaLemma:114108	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000003	O
5	est	lilaLemma:126689	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000004	O
6	meae	lilaLemma:112262	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000005	O
7	consuetudinis	lilaLemma:96179	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000006	O
8	initio	lilaLemma:107903	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000007	O
9	dicendi	lilaLemma:99302	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000008	O
10	rationem	lilaLemma:121458	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000009	O
11	reddere	lilaLemma:122458	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000010	O
12	qua	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000011	O
13	de	lilaLemma:97932	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000012	O
14	causa	lilaLemma:93253	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000013	O
15	quemque	lilaLemma:121320	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000014	O
16	defendam	lilaLemma:98236	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000015	O
17	propterea	lilaLemma:120712	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000016	O
18	quod	lilaLemma:74854	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000017	O
19	cum	lilaLemma:97201	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000018	O
20	omnibus	lilaLemma:114954	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000019	O
21	ciuibus	lilaLemma:94399	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000020	O
22	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20C%20Rabirio%20Perduellionis%20Reo/Cicero_ProCRabirioPerduellionisReo_CicRabPe.BPN_t_0000021	O
