# sent_id = CicFlac-D-27-1
# text = cum in maximis periculis huius urbis atque imperi grauissimo atque acerbissimo rei publicae casu socio atque adiutore consiliorum periculorumque meorum L. Flacco caedem a uobis coniugibus liberis uestris uastitatem a templis delubris urbe Italia depellebam sperabam iudices honoris potius L. Flacci me adiutorem futurum quam miseriarum deprecatorem
1	cum	lilaLemma:97202	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000001	O
2	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000002	O
3	maximis	lilaLemma:111319	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000003	O
4	periculis	lilaLemma:116930	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000004	O
5	huius	lilaLemma:105455	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000005	O
6	urbis	lilaLemma:130822	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000006	O
7	atque	lilaLemma:90490	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000007	O
8	imperi	lilaLemma:106532	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000008	O
9	grauissimo	lilaLemma:104903	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000009	O
10	atque	lilaLemma:90490	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000010	O
11	acerbissimo	lilaLemma:87191	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000011	O
12	rei	lilaLemma:121868	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000012	O
13	publicae	lilaLemma:120358	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000013	O
14	casu	lilaLemma:97835	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000014	O
15	socio	lilaLemma:125001	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000015	O
16	atque	lilaLemma:90490	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000016	O
17	adiutore	lilaLemma:87502	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Flacco/Cicero_ProFlacco_CicFlac.BPN_t_0000017	O
