# sent_id = HorSaecu-F-02-1
# text = Phoebe siluarumque potens Diana lucidum caeli decus o colendi semper et culti date quae precamur tempore sacro quo Sibyllini monuere uersus uirgines lectas puerosque castos dis quibus septem placuere colles dicere carmen
1	Phoebe	lilaLemma:18580	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000001	O
2-3	siluarumque	_	_	_
2	siluarum	lilaLemma:124801	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000002	O
3	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000003	O
4	potens	lilaIpoLemma:110681	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000004	O
5	Diana	lilaLemma:4861	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000005	O
6	lucidum	lilaLemma:110859	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000006	O
7	caeli	lilaLemma:92231	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000007	O
8	decus	lilaLemma:98168	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000008	O
9	o	lilaLemma:114172	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000009	O
10	colendi	lilaLemma:94916	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000010	O
11	semper	lilaLemma:124294	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000011	O
12	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000012	O
13	culti	lilaLemma:94916	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000013	O
14	date	lilaLemma:99970	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000014	O
15	quae	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000015	O
16	precamur	lilaLemma:119429	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000016	O
17	tempore	lilaLemma:127522	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000017	O
18	sacro	lilaLemma:123063	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000018	O
19	quo	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000019	O
20	Sibyllini	lilaLemma:21527	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000020	O
21	monuere	lilaLemma:112665	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000021	O
22	uersus	lilaLemma:130035	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000022	O
23	uirgines	lilaLemma:130328	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000023	O
24	lectas	lilaIpoLemma:25405	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000024	O
25-26	puerosque	_	_	_
25	pueros	lilaLemma:118042	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000025	O
26	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusCarmen%20Saeculare/Horatius_CarmenSaeculare_HorSaecu.BPN_t_0000026	O
