# sent_id = OviArsA1-I-01-1
# text = si quis in hoc artem populo non nouit amandi hoc legat et lecto carmine doctus amet
1	si	lilaLemma:124676	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000001	O
2	quis	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000002	O
3	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000003	O
4	hoc	lilaLemma:105455	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000004	O
5	artem	lilaLemma:90089	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000005	O
6	populo	lilaLemma:118463	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000006	O
7	non	lilaLemma:114108	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000007	O
8	nouit	lilaLemma:113840	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000008	O
9	amandi	lilaLemma:88705	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000009	O
10	hoc	lilaLemma:105455	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000010	O
11	legat	lilaLemma:110177	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000011	O
12	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000012	O
13	lecto	lilaLemma:110177	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000013	O
14	carmine	lilaLemma:96629	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000014	O
15	doctus	lilaLemma:99971	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000015	O
16	amet	lilaLemma:88705	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000016	O

# sent_id = OviArsA1-I-01-2
# text = arte citae ueloque rates remoque mouentur arte leues currus arte regendus Amor
1	arte	lilaLemma:90089	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusArs%20Amatoria/Ovidius_ArsAmatoria_OviArsA1.BPN_t_0000017	O
