# sent_id = SenVitBe-P-14-1
# text = uiuere Gallio frater omnes beate uolunt sed ad peruidendum quid sit quod beatam uitam efficiat caligant adeoque non est facile consequi beatam uitam ut eo quisque ab ea longius recedat quo ad illam concitatius fertur si uia lapsus est quae ubi in contrarium ducit ipsa uelocitas maioris interualli causa fit
1	uiuere	lilaLemma:130476	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000001	O
2	Gallio	lilaLemma:7773	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000002	B-PERS
3	frater	lilaLemma:103739	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000003	O
4	omnes	lilaLemma:114954	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000004	O
5	beate	lilaIpoLemma:112896	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000005	O
6	uolunt	lilaLemma:130745	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000006	O
7	sed	lilaLemma:123994	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000007	O
8	ad	lilaLemma:87344	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000008	O
9	peruidendum	lilaLemma:117468	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000009	O
10	quid	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000010	O
11	sit	lilaLemma:126689	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000011	O
12	quod	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000012	O
13	beatam	lilaIpoLemma:4503	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000013	O
14	uitam	lilaLemma:130393	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000014	O
15	efficiat	lilaLemma:100627	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000015	O
16	caligant	lilaLemma:92378	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000016	O
17-18	adeoque	_	_	_
17	adeo	lilaLemma:87420	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000017	O
18	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000018	O
19	non	lilaLemma:114108	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000019	O
20	est	lilaLemma:126689	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000020	O
21	facile	lilaLemma:102754	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000021	O
22	consequi	lilaLemma:96035	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000022	O
23	beatam	lilaIpoLemma:4503	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000023	O
24	uitam	lilaLemma:130393	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000024	O
25	ut	lilaLemma:130906	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000025	O
26	eo	lilaIpoLemma:110466	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000026	O
27	quisque	lilaLemma:121320	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000027	O
28	ab	lilaLemma:86824	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000028	O
29	ea	lilaLemma:109083	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000029	O
30	longius	lilaIpoLemma:25967	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000030	O
31	recedat	lilaLemma:122379	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000031	O
32	quo	lilaIpoLemma:110471	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000032	O
33	ad	lilaLemma:87344	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Vita%20Beata/Seneca_DeVitaBeata_SenVitBe.BPN_t_0000033	O
