id,form,lemma,upos,ent_label_BERT,ent_label_BERT_hypopt,ent_label_SpaCy,ent_label_CRF,Column15,BIO_gold,BIO_nested_gold,DIFF,err_ent_label_BERT,err_ent_label_BERT_hypopt,err_ent_label_SpaCy,err_ent_label_CRF,count_wrong,IOB,label,IOB_BERT,label_BERT,IOB_BERT2,label_BERT2,IOB_SpaCy,label_SpaCy,IOB_CRF,label_CRF
3,Otho,otho,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000099,B-PERS,O,DIFF,,ERROR,,ERROR,2.0,B,PERS,B,PERS,I,PERS,B,PERS,I,PERS
4,Uitellius,uitellius,PROPN,I-PERS,B-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000100,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,I,PERS,B,PERS,B,PERS,I,PERS
6,diui,diuus,ADJ,O,B-PERS,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000137,O,O,DIFF,,ERROR,,,1.0,O,,O,,B,PERS,O,,O,
2,urbanus,urbanus,ADJ,O,B-GRP,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000536,O,O,DIFF,,ERROR,,,1.0,O,,O,,B,GRP,O,,O,
55,Sabini,sabinus,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000589,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,B,PERS,I,PERS,B,PERS,I,PERS
22,Neronis,nero,PROPN,B-PERS,O,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000709,B-PERS,O,DIFF,,ERROR,,ERROR,2.0,B,PERS,B,PERS,O,,B,PERS,B,GRP
41,Uindicis,uindex,PROPN,O,B-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000772,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,O,,B,PERS,B,PERS,B,GRP
17,Asiae,asia,PROPN,B-LOC,O,B-LOC,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001199,B-LOC,O,DIFF,,ERROR,,,1.0,B,LOC,B,LOC,O,,B,LOC,B,LOC
9,diuo,diuus,ADJ,O,B-PERS,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001304,B-PERS,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,PERS,O,,B,PERS,O,,O,
10,Augusto,augustus,PROPN,O,I-PERS,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001305,I-PERS,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,PERS,O,,I,PERS,B,PERS,B,PERS
12,Romani,romanus,ADJ,O,B-GRP,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001307,B-GRP,O,DIFF,ERROR,,ERROR,,2.0,B,GRP,O,,B,GRP,O,,B,GRP
8,Macro,macer,PROPN,O,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001344,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,O,,I,PERS,B,PERS,I,PERS
8,Uinii,uinius,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001596,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,B,PERS,I,PERS,B,PERS,I,PERS
5,Germanicae,germanicus,ADJ,O,B-GRP,O,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001703,B-GRP,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,GRP,O,,B,GRP,O,,B,LOC
12,diui,diuus,ADJ,O,B-PERS,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0002445,B-PERS,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,PERS,O,,B,PERS,O,,O,
13,Augusti,augustus,PROPN,O,I-PERS,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0002446,I-PERS,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,PERS,O,,I,PERS,B,PERS,B,PERS
4,Germanicae,germanicus,ADJ,B-PERS,I-LOC,O,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0002589,B-GRP,O,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,B,GRP,B,PERS,I,LOC,O,,B,LOC
23,Germanicum,germanicus,ADJ,B-LOC,I-LOC,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0002608,B-GRP,O,DIFF,ERROR,ERROR,ERROR,,3.0,B,GRP,B,LOC,I,LOC,O,,B,GRP
4,Romani,romanus,ADJ,O,B-GRP,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0002722,B-GRP,O,DIFF,ERROR,,ERROR,,2.0,B,GRP,O,,B,GRP,O,,B,GRP
